7,0.27,0.36,20.7,0.05,45,170,1,3,0.45,8.8
6.3,0.3,0.34,1.6,0.05,14,132,0.99,3.3,0.49,9.5
8.1,0.28,0.4,6.9,0.05,30,97,1,3.26,0.44,10.1
7.2,0.23,0.32,8.5,0.06,47,186,1,3.19,0.4,9.9
7.2,0.23,0.32,8.5,0.06,47,186,1,3.19,0.4,9.9
8.1,0.28,0.4,6.9,0.05,30,97,1,3.26,0.44,10.1
6.2,0.32,0.16,7,0.05,30,136,0.99,3.18,0.47,9.6
7,0.27,0.36,20.7,0.05,45,170,1,3,0.45,8.8
6.3,0.3,0.34,1.6,0.05,14,132,0.99,3.3,0.49,9.5
8.1,0.22,0.43,1.5,0.04,28,129,0.99,3.22,0.45,11
8.1,0.27,0.41,1.45,0.03,11,63,0.99,2.99,0.56,12
8.6,0.23,0.4,4.2,0.04,17,109,0.99,3.14,0.53,9.7
7.9,0.18,0.37,1.2,0.04,16,75,0.99,3.18,0.63,10.8
6.6,0.16,0.4,1.5,0.04,48,143,0.99,3.54,0.52,12.4
8.3,0.42,0.62,19.25,0.04,41,172,1,2.98,0.67,9.7
6.6,0.17,0.38,1.5,0.03,28,112,0.99,3.25,0.55,11.4
6.3,0.48,0.04,1.1,0.05,30,99,0.99,3.24,0.36,9.6
6.2,0.66,0.48,1.2,0.03,29,75,0.99,3.33,0.39,12.8
7.4,0.34,0.42,1.1,0.03,17,171,0.99,3.12,0.53,11.3
6.5,0.31,0.14,7.5,0.04,34,133,1,3.22,0.5,9.5
6.2,0.66,0.48,1.2,0.03,29,75,0.99,3.33,0.39,12.8
6.4,0.31,0.38,2.9,0.04,19,102,0.99,3.17,0.35,11
6.8,0.26,0.42,1.7,0.05,41,122,0.99,3.47,0.48,10.5
7.6,0.67,0.14,1.5,0.07,25,168,0.99,3.05,0.51,9.3
6.6,0.27,0.41,1.3,0.05,16,142,1,3.42,0.47,10
7,0.25,0.32,9,0.05,56,245,1,3.25,0.5,10.4
6.9,0.24,0.35,1,0.05,35,146,0.99,3.45,0.44,10
7,0.28,0.39,8.7,0.05,32,141,1,3.38,0.53,10.5
7.4,0.27,0.48,1.1,0.05,17,132,0.99,3.19,0.49,11.6
7.2,0.32,0.36,2,0.03,37,114,0.99,3.1,0.71,12.3
8.5,0.24,0.39,10.4,0.04,20,142,1,3.2,0.53,10
8.3,0.14,0.34,1.1,0.04,7,47,0.99,3.47,0.4,10.2
7.4,0.25,0.36,2.05,0.05,31,100,0.99,3.19,0.44,10.8
6.2,0.12,0.34,1.5,0.05,43,117,0.99,3.42,0.51,9
5.8,0.27,0.2,14.95,0.04,22,179,1,3.37,0.37,10.2
7.3,0.28,0.43,1.7,0.08,21,123,0.99,3.19,0.42,12.8
6.5,0.39,0.23,5.4,0.05,25,149,0.99,3.24,0.35,10
7,0.33,0.32,1.2,0.05,38,138,0.99,3.13,0.28,11.2
7.3,0.24,0.39,17.95,0.06,45,149,1,3.21,0.36,8.6
7.3,0.24,0.39,17.95,0.06,45,149,1,3.21,0.36,8.6
6.7,0.23,0.39,2.5,0.17,63,158,0.99,3.11,0.36,9.4
6.7,0.24,0.39,2.9,0.17,63,157,0.99,3.1,0.34,9.4
7,0.31,0.26,7.4,0.07,28,160,1,3.13,0.46,9.8
6.6,0.24,0.27,1.4,0.06,33,152,0.99,3.22,0.56,9.5
6.7,0.23,0.26,1.4,0.06,33,154,0.99,3.24,0.56,9.5
7.4,0.18,0.31,1.4,0.06,38,167,0.99,3.16,0.53,10
6.2,0.45,0.26,4.4,0.06,63,206,0.99,3.27,0.52,9.8
6.2,0.46,0.25,4.4,0.07,62,207,0.99,3.25,0.52,9.8
7,0.31,0.26,7.4,0.07,28,160,1,3.13,0.46,9.8
6.9,0.19,0.35,5,0.07,32,150,1,3.36,0.48,9.8
7.2,0.19,0.31,1.6,0.06,31,173,0.99,3.35,0.44,11.7
6.6,0.25,0.29,1.1,0.07,39,124,0.99,3.34,0.58,11
6.2,0.16,0.33,1.1,0.06,21,82,0.99,3.32,0.46,10.9
6.4,0.18,0.35,1,0.05,39,108,0.99,3.31,0.35,10.9
6.8,0.2,0.59,0.9,0.15,38,132,0.99,3.05,0.38,9.1
6.9,0.25,0.35,1.3,0.04,29,191,0.99,3.13,0.52,11
7.2,0.21,0.34,11.9,0.04,37,213,1,3.09,0.5,9.6
6,0.19,0.26,12.4,0.05,50,147,1,3.3,0.36,8.9
6.6,0.38,0.15,4.6,0.04,25,78,0.99,3.11,0.38,10.2
7.4,0.2,0.36,1.2,0.04,44,111,0.99,3.36,0.34,9.9
6.8,0.22,0.24,4.9,0.09,30,123,1,3.03,0.46,8.6
6,0.19,0.26,12.4,0.05,50,147,1,3.3,0.36,8.9
7,0.47,0.07,1.1,0.04,17,151,0.99,3.02,0.34,10.5
6.6,0.38,0.15,4.6,0.04,25,78,0.99,3.11,0.38,10.2
7.2,0.24,0.27,1.4,0.04,31,122,0.99,3.15,0.46,10.3
6.2,0.35,0.03,1.2,0.06,29,120,0.99,3.22,0.54,9.1
6.4,0.26,0.24,6.4,0.04,27,124,0.99,3.22,0.49,12.6
6.7,0.25,0.13,1.2,0.04,81,174,0.99,3.14,0.42,9.8
6.7,0.23,0.31,2.1,0.05,30,96,0.99,3.33,0.64,10.7
7.4,0.24,0.29,10.1,0.05,21,105,1,3.13,0.35,9.5
6.2,0.27,0.43,7.8,0.06,48,244,1,3.1,0.51,9
6.8,0.3,0.23,4.6,0.06,50.5,238.5,1,3.32,0.6,9.5
6,0.27,0.28,4.8,0.06,31,201,1,3.69,0.71,10
8.6,0.23,0.46,1,0.05,9,72,0.99,2.95,0.49,9.1
6.7,0.23,0.31,2.1,0.05,30,96,0.99,3.33,0.64,10.7
7.4,0.24,0.29,10.1,0.05,21,105,1,3.13,0.35,9.5
7.1,0.18,0.36,1.4,0.04,31,87,0.99,3.26,0.37,12.7
7,0.32,0.34,1.3,0.04,20,69,0.99,3.31,0.65,12
7.4,0.18,0.3,8.8,0.06,26,103,1,2.94,0.56,9.3
6.7,0.54,0.28,5.4,0.06,21,105,0.99,3.27,0.37,9
6.8,0.22,0.31,1.4,0.05,34,114,0.99,3.39,0.77,10.6
7.1,0.2,0.34,16,0.05,51,166,1,3.21,0.6,9.2
7.1,0.34,0.2,6.1,0.06,47,164,0.99,3.17,0.42,10
